gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10
1002360222,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580&tab=overview,WC,2017-W,43001.0606712963,1.1,2,7.18,9,Red,ADC,Absolut,Team oNe Esports,Kog'Maw,Elise,Thresh,Syndra,Orianna,Jarvan IV,30.25,0,1,3,0,3,13,0,0,0,0,0,0,0,11.9176666667,0.0330578512,0.0991735537,0.5289256198,0,11.57375,0,3,0,1,0,0,0,0,0,0,,,0,15.2525,0,0,0,10,0,26.8474833333,0,1,9021,298.2148760331,0.2698070884,0.2475679702,12,0.3966942149,0.1111111111,5,0.1652892562,3,4, , ,10605,219.7421487603,10600,-0.0749148695,274,5,5,0,9.2231404959,3122,3214,-92,4977,4954,23,2904,3190,-286
1002360222,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580&tab=overview,WC,2017-W,43001.0606712963,1.1,2,7.18,10,Red,Support,RedBert,Team oNe Esports,Morgana,Elise,Thresh,Syndra,Orianna,Jarvan IV,30.25,0,0,2,1,3,13,0,0,0,0,0,0,0,11.9176666667,0,0.0330578512,0.5289256198,0,11.57375,0,3,0,0,0,0,0,0,0,0,,,0,15.2525,0,0,0,10,0,26.8474833333,0,1,1799,59.4710743802,0.053805892,0.1599329609,38,1.2561983471,0.3518518519,3,0.0991735537,10,13, , ,8252,141.9570247934,7775,-0.065318818,37,0,0,0,1.2231404959,2728,1997,731,4120,3134,986,2669,2452,217
1002360222,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580&tab=overview,WC,2017-W,43001.0606712963,1.1,2,7.18,100,Blue,Team,Team,Cloud9, ,Tristana,Sejuani,Kalista,Trundle,Dr. Mundo,30.25,1,13,3,33,13,3, , , , ,1,1,0,11.9176666667,0.4297520661,0.0991735537,0.5289256198,1,11.57375,3,0,3,0,0,1,2,0,0,0,,,1,15.2525,1,1,10,0,1,26.8474833333,1,0,51176,1691.7685950413, , ,97,3.2066115702,1,44,1.4545454545,22,25,0.7222222222,0.25,59391,1309.1570247934,51625,0.1510416667,769,158,86,16,30.6446280992,14473,14240,233,23162,22175,987,18245,17058,1187
1002360222,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580&tab=overview,WC,2017-W,43001.0606712963,1.1,2,7.18,200,Red,Team,Team,Team oNe Esports, ,Elise,Thresh,Syndra,Orianna,Jarvan IV,30.25,0,3,13,5,3,13, , , , ,0,0,1,11.9176666667,0.0991735537,0.4297520661,0.5289256198,0,11.57375,0,3,0,3,0,0,0,0,0,0,,,0,15.2525,0,0,0,10,0,26.8474833333,0,1,33435,1105.2892561984, , ,108,3.5702479339,1,31,1.0247933884,31,38,0.375,0.301369863,46639,887.6033057851,44375,-0.1510416667,791,134,95,3,30.5785123967,14240,14473,-233,22175,23162,-987,17058,18245,-1187
1002360229,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360229?gameHash=381d6033a496606e&tab=overview,WC,2017-W,43001.1011342593,1.1,3,7.18,1,Blue,Top,PvPStejos,Gambit Esports,Camille,Lucian,Galio,Alistar,Syndra,LeBlanc,33.3833333333,0,0,3,1,2,14,0,0,0,0,0,0,0,6.1045666667,0,0.0599101348,0.4792810784,0,12.22495,0,3,0,1,0,0,0,0,0,0,0,,0,14.6540666667,0,0,1,10,0,29.6128,0,1,8555,256.2656015976,0.2196800452,0.2237611413,15,0.449326011,0.119047619,2,0.0599101348,1,1, , ,10728,191.3134298552,10308,-0.2143692348,267,22,5,0,8.6570144783,3075,3048,27,4335,4639,-304,4365,4669,-304
1002360229,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360229?gameHash=381d6033a496606e&tab=overview,WC,2017-W,43001.1011342593,1.1,3,7.18,2,Blue,Jungle,Diamondprox,Gambit Esports,Gragas,Lucian,Galio,Alistar,Syndra,LeBlanc,33.3833333333,0,1,3,1,2,14,0,0,0,0,0,0,0,6.1045666667,0.0299550674,0.0599101348,0.4792810784,0,12.22495,0,3,0,2,0,0,0,0,0,0,0,,0,14.6540666667,0,0,1,10,0,29.6128,0,1,6442,192.9705441837,0.1654212567,0.1934903862,37,1.1083374938,0.2936507937,7,0.2096854718,10,10, , ,9864,165.4322516226,9900,-0.0588235294,18,142,102,4,4.7928107838,2891,3207,-316,4318,4622,-304,3180,3081,99
1002360229,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360229?gameHash=381d6033a496606e&tab=overview,WC,2017-W,43001.1011342593,1.1,3,7.18,3,Blue,Middle,Kira,Gambit Esports,Ryze,Lucian,Galio,Alistar,Syndra,LeBlanc,33.3833333333,0,0,2,2,2,14,0,0,0,0,0,0,0,6.1045666667,0,0.149775337,0.4792810784,0,12.22495,0,3,0,0,0,0,0,0,0,0,0,,0,14.6540666667,0,0,1,10,0,29.6128,0,1,7559,226.4303544683,0.1941042036,0.2428905768,22,0.6590114828,0.1746031746,14,0.4193709436,9,11, , ,11274,207.668896655,11225,-0.1949748744,283,9,3,2,8.7468796805,3251,3432,-181,5029,5605,-576,4626,4917,-291
1002360229,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360229?gameHash=381d6033a496606e&tab=overview,WC,2017-W,43001.1011342593,1.1,3,7.18,4,Blue,ADC,Blasting,Gambit Esports,Xayah,Lucian,Galio,Alistar,Syndra,LeBlanc,33.3833333333,0,1,3,1,2,14,0,0,0,0,0,0,1,6.1045666667,0.0299550674,0.149775337,0.4792810784,0,12.22495,0,3,0,0,0,0,0,0,0,0,0,,0,14.6540666667,0,0,1,10,0,29.6128,0,1,13094,392.2316525212,0.3362350101,0.2443270363,13,0.3894158762,0.1031746032,7,0.2096854718,3,3, , ,11315,208.8970544184,11325,-0.1898101898,293,0,0,0,8.7768347479,3049,2901,148,4655,5331,-676,3099,3103,-4
1002360229,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360229?gameHash=381d6033a496606e&tab=overview,WC,2017-W,43001.1011342593,1.1,3,7.18,5,Blue,Support,EDward,Gambit Esports,Rakan,Lucian,Galio,Alistar,Syndra,LeBlanc,33.3833333333,0,0,3,1,2,14,0,0,0,0,0,0,0,6.1045666667,0,0,0.4792810784,0,12.22495,0,3,0,0,0,0,0,0,0,0,0,,0,14.6540666667,0,0,1,10,0,29.6128,0,1,3293,98.6420369446,0.0845594844,0.0955308594,39,1.1682476286,0.3095238095,12,0.3594608088,14,16, , ,7068,81.6778831752,6800,-0.2163934426,23,2,2,0,0.748876685,2072,2152,-80,3052,3385,-333,3069,2691,378
1002360229,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360229?gameHash=381d6033a496606e&tab=overview,WC,2017-W,43001.1011342593,1.1,3,7.18,6,Red,Top,Jirall,Lyon Gaming,Jax,Sejuani,Cassiopeia,Kalista,Kayn,Anivia,33.3833333333,1,2,1,5,14,2,0,0,0,0,0,0,0,6.1045666667,0.0599101348,0,0.4792810784,0,12.22495,3,0,1,0,0,0,0,1,0,0,1,,1,14.6540666667,1,1,10,1,1,29.6128,1,0,11532,345.4418372441,0.1947413749,0.2144878969,16,0.4792810784,0.131147541,4,0.1198202696,2,2, , ,13686,279.9205192212,12783,0.2143692348,274,29,8,10,9.0763854219,3048,3075,-27,4639,4335,304,4669,4365,304
